X,Y,T,A
486340.1637006453,4419187.662290451,320.0,320.0
486150.6557712454,4419264.193868011,322.0,322.0
486496.27682372025,4419298.49426676,322.0,322.0
486333.4690922071,4418351.674825982,308.0,308.0
486069.0848510902,4419142.582710549,308.0,308.0
486372.3298232146,4419367.048685012,323.0,323.0
486565.44272732263,4418995.047702096,324.0,324.0
486584.61194037355,4418994.419099855,325.0,325.0
486449.61434187496,4419307.334713291,325.0,325.0
486364.4745749654,4418532.321992385,326.0,326.0
486372.3298232146,4419367.048685012,327.0,327.0
486372.3298232146,4419367.048685012,327.0,327.0
486352.5912776799,4419368.362582526,332.0,332.0
486600.65329556743,4419099.410269351,334.0,334.0
486579.1076069912,4418962.262866983,335.0,335.0
486583.8825973545,4419001.788046674,335.0,335.0
486619.9763340713,4418674.772362431,336.0,336.0
487067.3496109061,4419387.679026899,315.0,315.0
486389.98296521616,4418399.281168299,315.0,315.0
486719.15692992654,4418973.857904441,318.0,318.0
486796.7646887267,4418570.9704493,337.0,337.0
486629.5754110833,4419283.581837735,311.0,311.0
486424.59427537397,4418862.0848860005,338.0,338.0
486364.2188162654,4418520.949199027,341.0,341.0
486340.1637006453,4419187.662290451,339.0,339.0
486359.3799321529,4418500.519074518,344.0,344.0
486721.4703133245,4419354.972236958,344.0,344.0
486825.1862001932,4419010.163169507,340.0,340.0
486503.60055711726,4419328.652502993,351.0,351.0
486340.1637006453,4419187.662290451,347.0,347.0
486318.97239391535,4418539.77820676,348.0,348.0
486368.3638133892,4418531.7504414655,348.0,348.0
486726.87541354523,4419219.793064335,363.0,363.0
486423.14124137315,4418797.756199687,364.0,364.0
486367.1787731793,4418999.639153365,361.0,361.0
486656.18250136444,4418896.269707485,362.0,362.0
486546.7092431811,4418501.4659654545,365.0,0.0
486502.02796664246,4419319.693067024,375.0,10.0
486467.2269856646,4419113.93692184,377.0,12.0
486606.74254917586,4418320.533530031,377.0,12.0
486625.92243494315,4418416.325192342,378.0,13.0
486372.3298232146,4419367.048685012,378.0,13.0
486625.92243494315,4418416.325192342,378.0,13.0
486213.58620906575,4418416.057509304,383.0,18.0
486057.6774955008,4419286.163653382,385.0,20.0
486340.1637006453,4419187.662290451,387.0,22.0
486734.15939456446,4418887.7900420325,387.0,22.0
486372.3298232146,4419367.048685012,387.0,22.0
486736.7150357172,4418902.431415568,387.0,22.0
486393.42839576036,4419278.325415983,388.0,23.0
487052.60274196643,4418686.148704488,389.0,24.0
486442.04676609003,4419221.162385945,389.0,24.0
486592.8872946975,4419046.3408096805,390.0,25.0
487094.9761030724,4418555.799369613,372.0,7.0
486360.92108430114,4418509.596519529,373.0,8.0
486131.72661632113,4418699.843907908,391.0,26.0
486445.97586658626,4418989.311695752,393.0,28.0
486555.6655449774,4418992.622119622,399.0,34.0
486523.8047187924,4418984.735978978,400.0,35.0
486496.97860261734,4418771.693266279,401.0,36.0
486343.193326033,4419206.451023486,402.0,37.0
486655.942146905,4418614.044840607,399.0,34.0
486497.8178156286,4418782.009107448,399.0,34.0
486486.05750537175,4419226.036509903,404.0,39.0
486496.97860261734,4418771.693266279,405.0,40.0
486657.76026595593,4418978.971282202,406.0,41.0
486333.4690922071,4418351.674825982,406.0,41.0
486496.97860261734,4418771.693266279,406.0,41.0
486887.9798593713,4419125.951621987,406.0,41.0
486887.9798593713,4419125.951621987,406.0,41.0
486496.97860261734,4418771.693266279,407.0,42.0
486361.60108679207,4419370.834546486,407.0,42.0
486054.0317988877,4418575.512392739,403.0,38.0
486496.97860261734,4418771.693266279,403.0,38.0
486781.0494452174,4419338.125597956,410.0,45.0
486781.0494452174,4419338.125597956,410.0,45.0
486213.58620906575,4418416.057509304,411.0,46.0
486781.0494452174,4419338.125597956,411.0,46.0
486636.5784088068,4418485.537176278,411.0,46.0
486172.4967643144,4418715.421537958,409.0,44.0
486333.4690922071,4418351.674825982,413.0,48.0
